name,lng,lat
Aachen,50.775,6.08333
Aarhus,56.18333,10.23333
Abee,54.21667,-113
Acapulco,16.88333,-99.9
Achiras,-33.16667,-64.95
Adhi Kot,32.1,71.8
Adzhi-Bogdo (stone),44.83333,95.16667
Agen,44.21667,0.61667
Aguada,-31.6,-65.23333
Aguila Blanca,-30.86667,-64.55
Aioun el Atrouss,16.39806,-9.57028
Aïr,19.08333,8.38333
Aire-sur-la-Lys,50.66667,2.33333
Akaba,29.51667,35.05
Akbarpur,29.71667,77.95
Akwanga,8.91667,8.43333
Akyumak,39.91667,42.81667
Al Rais,24.41667,39.51667
Al Zarnkh,13.66033,28.96
Alais,44.11667,4.08333
Albareto,44.65,11.01667
Alberta,2,22.66667
Alby sur Chéran,45.82133,6.01533
Aldsworth,51.78333,-1.78333
Aleppo,36.23333,37.13333
Alessandria,44.88333,8.75
Alexandrovsky,50.95,31.81667
Alfianello,45.26667,10.15
Allegan,42.53333,-85.88333
Allende,26.96667,-105.31667
Almahata Sitta,20.74575,32.41275
Alta'ameem,35.27333,44.21556
Ambapur Nagla,27.66667,78.25
Andhara,26.58333,85.56667
Andover,44.61667,-70.75
Andreevka,48.7,37.5